timestep,Dice,SSIM,IOU,Precision,Recall,FPR,,,,,,,,,,
0,0,0.164,0.1725,0.5946,0.1955,0.1136,,,,,,,,,,
1,0.0063,-0.078,0.1443,0.5749,0.1615,0.1394,,,,,,,,,,
2,0.1075,-0.1869,0.1894,0.7683,0.2008,0.0833,,,,,,,,,,
3,0.4676,-0.2517,0.2351,0.9219,0.2399,0.0283,,,,,,,,,,
4,0.6156,-0.259,0.2769,0.9047,0.2852,0.0277,,,,,,,,,,
5,0.6679,-0.2501,0.2803,0.8311,0.2972,0.0443,,,75,,,,,,,
6,0.6705,-0.2353,0.2405,0.6961,0.2687,0.0756,,,,,,,,,,
7,0.6636,-0.2071,0.2363,0.6769,0.2663,0.0794,,,,,,,,,,
8,0.6678,-0.1966,0.2137,0.6019,0.2489,0.095,,,,,,,,,,
9,0.659,-0.1791,0.2208,0.611,0.2569,0.092,,,,,,,,,,
10,0.6455,-0.1613,0.2198,0.6229,0.2536,0.0908,,,,,,,,,,
11,0.6383,-0.1457,0.2225,0.6225,0.2572,0.0901,,,,,,,,,,
12,0.6324,-0.1385,0.2258,0.6308,0.2602,0.0882,,,,,,,,,,
13,0.6198,-0.124,0.2292,0.6429,0.2626,0.0858,,,,,,,,,,
14,0.6072,-0.1125,0.2268,0.6341,0.2609,0.0876,,,,,,,,,,
15,0.6044,-0.1076,0.2285,0.638,0.2625,0.0867,,,,,,,,,,
16,0.5967,-0.0978,0.2224,0.627,0.2563,0.0896,,,,,,,,,,
17,0.5909,-0.0927,0.2281,0.6414,0.2614,0.0863,,,,,,,,,,
18,0.5842,-0.084,0.2248,0.6347,0.2582,0.088,,,,,,,,,,
19,0.5801,-0.084,0.2291,0.6469,0.2619,0.0853,,,,,,,,,,
20,0.5773,-0.0777,0.2283,0.6444,0.2613,0.0858,,,,,,,,,,
21,0.5756,-0.0723,0.2311,0.6398,0.2657,0.0857,,,,,,,,,,
22,0.5721,-0.0752,0.225,0.6405,0.2575,0.0872,,,,,,,,,,
23,0.5697,-0.0674,0.2277,0.6309,0.2626,0.0877,,,,,,,,,,
24,0.5703,-0.068,0.2281,0.632,0.263,0.0875,,,,,,,,,,
25,0.5644,-0.0626,0.227,0.6303,0.2619,0.088,,,,,,,,,,
26,0.5609,-0.0624,0.2289,0.6345,0.2637,0.087,,,,,,,,,,
27,0.5651,-0.0621,0.2257,0.6335,0.2595,0.0879,,,,,,,,,,
28,0.5624,-0.0599,0.2319,0.6419,0.2663,0.0853,,,,,,,,,,
29,0.5589,-0.059,0.2245,0.6244,0.2596,0.0894,,,,,,,,,,
30,0.5615,-0.0575,0.2325,0.6397,0.2675,0.0854,,,,,,,,,,
31,0.5597,-0.0539,0.2347,0.6429,0.2698,0.0845,,,,,,,,,,
32,0.5556,-0.0525,0.2275,0.6281,0.2629,0.0881,,,,,,,,,,
33,0.5577,-0.0517,0.2271,0.6298,0.262,0.088,,,,,,,,,,
34,0.5519,-0.0512,0.2319,0.6385,0.267,0.0857,,,,,,,,,,
35,0.5601,-0.0536,0.2304,0.6288,0.2667,0.0873,,,,,,,,,,
36,0.561,-0.0506,0.2311,0.6345,0.2666,0.0864,,,,,,,,,,75
37,0.553,-0.0495,0.2287,0.6331,0.2637,0.0872,,,,,,,,,,
38,0.5521,-0.05,0.2312,0.635,0.2666,0.0864,,,,,,,,,,
39,0.5574,-0.0495,0.2321,0.6397,0.2671,0.0855,,,,,,,,,,
40,0.56,-0.0503,0.2303,0.6345,0.2656,0.0866,,,,,,,,,,
41,0.5545,-0.0501,0.2323,0.6408,0.267,0.0853,,,,,,,,,,
42,0.5533,-0.0455,0.2338,0.6424,0.2688,0.0848,,,,,,,,,,
43,0.5493,-0.0452,0.2326,0.6364,0.2682,0.0858,,,,,,,,,,
44,0.5517,-0.0468,0.2324,0.6415,0.267,0.0852,,,,,,,,,,
45,0.5548,-0.0482,0.2321,0.6407,0.2669,0.0854,,,,,,,,,,
46,0.5549,-0.047,0.2343,0.6425,0.2694,0.0846,,,,,,,,,,
47,0.5574,-0.048,0.2339,0.638,0.2697,0.0853,,,,,,,,,,
48,0.5532,-0.0469,0.2296,0.6304,0.2654,0.0873,,,,,,,,,,
49,0.5549,-0.0456,0.2328,0.6381,0.2682,0.0856,,,,,,,,,,
